domain,step
Graphic Design,Brainstorming concepts
Custom Knife Making,Shape and attach handle
Building Wooden Model Ships,Paint and finish
Soap Making, Cut and package
Mosaic Art,Apply grout between tiles
Handmade Tile Mosaics,Apply grout between tiles
Basket Weaving,Staining/sealing
Customer Support Ticket Resolution,Identifying opportunities for process improvement
Sculpting,Selecting sculpting material
Building a Foldable Wooden Camp Table,Sand and finish with outdoor sealant
Human Resources Administration,Resolving workplace conflicts
Building a Wooden Porch Swing,Assemble frame and seat
Calligraphy,Creating flourishes
Parkour,Overcome obstacles
Pasta Making,Selecting flour and egg for pasta dough
Legal Contract Management,Reviewing intellectual property rights
Hand Forging Fireplace Tools,Finish with heat-resistant coating
Hand-blown Glass Ornaments,Inflate and shape glass with tools and molds
Fly Tying,Imitate insect form
Historical Masonry,Select natural stones
Leather Wallet Making,Allowing wallet to dry
Manual planting of flower gardens,Deadhead and maintain plants as needed
Handcrafted Leather Shoes,Assemble and sew upper parts
Manual rolling of sushi rolls,"Prepare sushi rice and fillings such as fish, vegetables, and seaweed"
E-commerce Order Fulfillment,Training fulfillment staff
Bread Baking (Artisanal),"Measure ingredients (flour, water, yeast, salt)"
Crafting Hand-Painted Silk Ties,Stretch silk fabric
Making Hand-Painted Silk Tapestries,Stretch silk fabric
Birdhouse Building,Adding roof or overhang
Making Kimchi," Mix vegetables with kimchi paste (gochugaru, ginger, garlic) "
Cleaning Services,Dusting
Restaurant Service,Conducting pre-shift meetings
Laundry,Transferring clothes to dryer
Traditional Carpentry,Saw wood to required lengths and angles
Hand-whipping cream,Chill cream and utensils
Creating Hand-Crafted Pottery Vases,Throw vase shape on wheel
Ice Carving,Create elaborate sculptures
Hand twisting pretzels,Prepare dough
Hand-rolling dough for dumplings,Prepare dough
Manual rolling of doughnuts,Prepare dough
Artisanal Bread Shaping,Prepare dough
Human Resources Administration,Conducting HR training sessions
Handmade Fishing Rods (Bamboo),Test for action and flexibility
Embroidery,Framing/displaying
Kite Making,"Adding reinforcements (e.g., bridle, spine)"
Marbling,Displaying artwork
Tinsmithing,Inspect for functionality and finish
Plumbing,Disassembling pipes/fixtures
Hand-forged Jewelry Making,"Heat metal (silver, gold, copper) in forge"
Rock Climbing (Indoors),Learn belaying & knot-tying
Marquetry (Wood Inlay),Glue onto substrate
Making Custom Herb-Infused Cooking Oils,Cool and strain
Macramé Crafting,"Knot cords using macramé techniques (square knot, hitch, etc.)"
Customer Support Ticket Resolution,Notifying customers of ticket assignment
Fermentation,Experimenting with fermentation recipes
Hairdressing,Managing inventory
Making Custom Glass Terrariums with Soldered Frames,Solder panels together
Henna Tattooing,Waiting for henna to stain skin (several hours to overnight)
Making Custom Herb and Spice Blends,Grind and mix
Landscaping,Aerating soil
Event Planning,Managing budgets
Inventory Management,Generating reorder reports
Handmaking Bat Houses,Paint dark color
Bento Box Making,"Choosing ingredients for bento box meal (e.g., rice, protein, vegetables)"
Bricklaying,Lay bricks in pattern
Fire Performance,Choreograph routine
IT Support,Restoring files
Technical Support,Restoring files
Event Planning,Facilitating networking opportunities
Manual roasting of marshmallows,Hold over flame or hot coals
Cobbling (Shoe Repair),Clean and condition leather
Making Hand-Crafted Ceramic Coasters with Cork Backing,Attach cork backing
Upholstering a Chair,Remove old fabric
Winemaking,Labeling bottles
Wine Making,Labeling bottles
Kombucha Brewing,Labeling bottles
Perfume Bottle Design,Labeling bottles
Essential Oil Blending,Testing blend on skin for sensitivity
Making Hand-Dipped Beeswax Candles,Dip wicks in wax to build layers
Decoupage Furniture Refinishing,Allowing primer to dry completely
Hand-sewing of cloth napkins,Select fabric and cut to desired size
Medical Billing and Coding,Complying with coding guidelines
Crafting Custom Acrylic Keychains with Vinyl Decals,Apply adhesive vinyl decal
Fitness Training,Incorporating balance exercises
Shoe Repair,Restoring leather uppers
Event Planning,Issuing thank-you notes
Manual assembling of DIY furniture kits,"Follow assembly instructions to connect pieces using screws, bolts, or dowels"
Crafting Bespoke Silk Eye Masks,Cut and sew padding
Taxidermy (Advanced),Pay attention to anatomical detail
Inventory Management in Retail,Implementing space-saving solutions
Legal Contract Management,Customizing contracts for specific needs
Wood Burning (Pyrography),Allowing burned areas to cool before continuing
Building Rustic Wooden Coasters,Add felt pads
Making Ice Cream, Freeze the ice cream until firm
Lotion Making,Adding fragrance oils or essential oils
Manual reupholstering of furniture,Remove old fabric and padding
Creative Writing,Write draft
Soap Making,Stamping or engraving logos/designs
Calligraphy Writing,Mounting or framing finished calligraphy pieces
Printmaking,Create plate
Electrical Wiring,Run wires
Luthiery (Instrument Making),Assemble body and neck
Soapstone Carving,Selecting soapstone slab
Retail Merchandising,Negotiating vendor agreements
Crafting Artisanal Wooden Cheese Boards with Epoxy Resin,Design with masking tape
Soap Making, Mix lye solution 
Legal Case Management,Collecting payments
Pottery,Cleaning pottery tools
Construction,Reviewing blueprints
Crafting Handwoven Bead Necklaces,String beads on thread or wire
Creating Handmade Beaded Bookmark,String beads on thread or wire
Model Making,Adding decals
Manual packing of wounds,Apply dressing
Handwoven Textiles,Wash and block textile
Traditional Lantern Making,Cover frame with paper or silk
Crafting Traditional Spears,Forge or shape point
Embroidery,Embroider
Making Bespoke Wooden Lamps with Driftwood,Add shade and bulb
Vinyl Record Pressing,Preparing vinyl compound (PVC)
Manufacturing Assembly,Inspecting materials
Crafting Artisanal Leather-bound Notebooks with Marbled Paper,Marble paper for endpapers
E-commerce Order Fulfillment,Loading packages onto delivery trucks
Playing a Tabletop Role-Playing Game,Create a character backstory and personality 
Artisanal Mead Making,Bottle and cork
Candle Making,Adding fragrance/color
Scrimshaw,Etch intricate designs into ivory or bone
Manual carving of pumpkins,Carefully carve along design lines
Batik Fabric Dyeing,Inspecting fabric for desired colors and patterns
Candle Making,Storing finished candles
Sharpening Knives (advanced), Strop the knife on leather to polish the edge
Vehicle Maintenance,Checking brake pads
Bicycle Repair,Fix a flat
Viticulture (Wine Grape Growing),Harvest grapes at optimal ripeness
Handicrafts,Sewing pieces together
Tailoring,Sewing pieces together
Sewing,Sewing pieces together
Doll Making,Sewing pieces together
Costume Making,Sewing pieces together
Sewing,Sewing pieces together
Hat Making,Sewing pieces together
Crocheted Amigurumi,Sewing pieces together
Crafting Decorative Wire Jewelry Trees,Bend and twist wire to form branches and roots
Retail Sales,Handling cash
Herbal Medicine Preparation,Bottle and label medicine
Artisan Sausage Making,Stuff seasoned meat into casings
Animation,Design characters
Handwoven Basketry (Reed),Attach handles if desired
Locksmithing,Disassemble lock
Acupuncture, Remove needles
Making Bespoke Leather Valet Trays with Snap Corners,Punch holes for snaps
Pasta Making,Using pasta-making attachments
Making Hand-Tied Bouquets with Dried Flowers,Tie with twine or ribbon
Creating Hand-Tied Bouquets with Dried Flowers,Tie with twine or ribbon
Wrought Iron Crafting,Paint or powder coat for finish
Vintage Typewriter Restoration,Reassemble and lubricate
Playing a Puzzle, Connect matching pieces 
Manual shaping of baguettes,"Shape dough into long, narrow loaves"
Wood Burning (Pyrography),Selecting wood surface
Data Analysis,Cleaning data
Wrought Ironwork,Clean and apply finish
Playing a Card Game (advanced - specific game), Analyze opponent's strategies and adapt accordingly
Winemaking,Harvesting grapes
Wine Making,Harvesting grapes
Computer Assembly,Install CPU & RAM
Graphic Design,Staying updated on design trends
Navigation (Celestial),Calculate position based on stars & sun
Artisanal Bread Shaping,Proof in baskets or pans
Supply Chain Management,Managing returns and exchanges
Fishing,Casting lines
Jigsaw Puzzle Cutting,Packaging puzzle in sturdy box
Creating Artisan Bread Baking Cloches from Clay,Throw cloche base and lid on wheel
Hand-carved Wooden Spoons,Carve bowl with gouge
Paper Cutting (Kirigami),Selecting paper suitable for kirigami
Crochet,Designing crochet projects
Food Preparation,Washing vegetables
Leathercraft,Lacing
Batik Fabric Dyeing,Ironing fabric to set dye
Custom Surf Wax Making,Cool and remove from molds
Henna Tattooing,Removing dried henna paste
Manufacturing Assembly,Conducting safety checks
Doll Making,Choosing appropriate fabric and materials
Ikebana (Flower Arranging),Select vase and flowers
Paper Quilling,Storing quilling paper and supplies
Fruit Preserving (Jam Making),Cooking fruit mixture over medium heat
Glassblowing,Add color or detail
Hat Making (Millinery)," Shape materials (felt, straw) "
T-shirt Quilting,Collecting old t-shirts
Handmade Soap Wrapping,Measuring and cutting wrapping material to size
Travel Planning,Checking luggage weight restrictions
Custom Skateboard Making,Coat with protective varnish
Leather Journal Making,Testing journal for durability and functionality
Construction Project Management,Conducting project meetings
Paper Quilling,Roll & shape thin strips of paper
Restaurant Service,Closing restaurant
Weathervane Making,Cut metal sheet
Creating Custom Metal Fire Rings,Cut metal sheet
Crafting Hand-Blown Drinking Glasses,Cool in annealer
Making Bespoke Silver Jewelry,Set any stones
Waitressing/Waiting, Process payment
Quill Pen Making,Trim feather shaft for handling
Leatherworking,Cut out pattern pieces
Healthcare Appointment Scheduling,Updating scheduling systems
Macrame,Maintaining macrame tools
Farm Harvesting,Documenting harvest procedures
Metal Detecting, Dig signals 
T-shirt Quilting,Teaching t-shirt quilting classes
Catering Service,Restocking beverages
Macrame,Create patterns with knotted cords
"Fermented Beverage Making (Kombucha, Kefir)",Adding water or milk to cover ingredients
Playing a Musical Instrument, Learn a song 
Crafting Artisanal Goat Cheese Logs with Herbs and Edible Flowers,Roll in chopped herbs and edible flowers
Retail Merchandising,Allocating floor space
Wood Burning (Pyrography),Using shading techniques for depth and texture
Canning and Preserving,Following safe canning practices
Soap Making (Cold Process),Wearing protective gear and mixing lye solution with oils
Financial Planning,Allocating assets
Handwoven Textiles,Finish edges to prevent fraying
Ice Cream (Churning),Make custard base
Wedding Planning,Manage timeline
Car Maintenance,Inspecting brakes
Hand-knotted Carpets,Design pattern and color scheme
Eco-printing on Fabric,Steam or boil to transfer prints
Maori Wood Carving,Utilize native woods
Digital Marketing Campaign Management,Measuring conversion rates
Concrete Mixing,Curing
Creating Custom Walking Cane,Apply stain and finish
Fishing,Cooking fish
Making Custom Molded Leather Masks,Attach straps or ribbons
Travel Planning,Gathering travel documents
Healthcare Appointment Scheduling,Balancing provider schedules
Spoon Carving,Carving rough shape with hook knife
Weathervane Making,Paint or finish
Building Custom Bicycles,Paint or finish
Making Custom Wind Spinners,Paint or finish
Inventory Management in Retail,Managing stock rotation
Quality Assurance in Manufacturing,Conducting reliability tests
Bookbinding,Attach cover
Bookbinding,Attach cover
Manual bookbinding,Attach cover
Business Expense Management,Reconciling expenses with budget
Hand-crafting of stained glass art,Arrange pieces on pattern and solder together
Hand-sewing of quilts,Select fabric and quilt pattern
Farm Harvesting,Implementing traceability systems
Construction Project Management,Installing utilities
Customer Support Ticket Resolution,Automating common support tasks
Spring Cleaning,Clean out gutters
Fishing, Bait hook 
Hand polishing furniture,Apply furniture polish
Mosaic Making,Clean and seal
Hand Crafting Mosaic Backsplashes,Clean and seal
Creating Custom Glass Mosaic Mirrors,Clean and seal
Pottery,Centering clay on wheel
Gardening and Landscaping,Plant seeds or seedlings
Manual planting of vegetable gardens,Plant seeds or seedlings
