domain,steps
Taxidermy,Skinning|Fleshing|Mounting|Sculpting forms|Positioning eyes|Sewing skins|Stuffing|Adding details|Painting|Mounting on display
Tax Preparation,Gathering financial documents|Organizing receipts|Calculating income|Calculating deductions|Completing tax forms|Double-checking calculations|Filing taxes|Reviewing tax return|Submitting to tax authorities|Client consultation
Welding,Selecting welding method|Preparing materials|Setting up welding equipment|Welding pieces together|Ensuring proper weld|Cooling|Grinding welds|Inspecting for quality|Cleaning work area|Storing equipment
Home Brewing,Sanitizing equipment|Measuring ingredients|Heating water|Mashing grains|Boiling wort|Adding hops|Cooling wort|Transferring to fermenter|Pitching yeast|Fermentation
Graphic Design,Meeting with clients|Understanding project requirements|Brainstorming ideas|Sketching concepts|Creating digital drafts|Client feedback|Revisions|Finalizing design|Exporting files|Sending to client
Woodworking,Selecting lumber|Measuring and marking|Cutting wood|Joining pieces|Sanding surfaces|Applying finishes|Assembling furniture|Adding hardware|Inspecting for quality|Packaging for shipping
Pet Grooming,Bathing pets|Brushing fur|Clipping nails|Trimming fur|Cleaning ears|Brushing teeth|Applying flea/tick treatment|Styling fur|Applying pet-safe cologne|Checking for parasites
Carpentry,Measuring and marking|Cutting wood|Joining pieces|Sanding surfaces|Applying finishes|Installing hardware|Assembling furniture|Installing structures|Inspecting for quality|Cleaning workspace
Flower Arranging,Selecting flowers|Trimming stems|Arranging flowers|Adding foliage|Wrapping bouquets|Adding accents|Watering arrangements|Pruning|Cleaning workspace|Displaying finished arrangements
Stone Cutting,Selecting stones|Marking cut lines|Using saws to cut stones|Grinding edges|Polishing surfaces|Inspecting for flaws|Transporting cut stones|Storing equipment|Cleaning work area|Safety procedures
Concrete Mixing,Measuring ingredients|Mixing concrete|Adding water|Mixing until consistent|Pouring into molds|Leveling surface|Curing|Removing molds|Inspecting for cracks|Cleaning equipment
Furniture Refinishing,Stripping old finish|Sanding surfaces|Repairing damaged areas|Staining|Applying sealant|Polishing|Replacing hardware|Inspecting for quality|Cleaning workspace|Storing supplies
Plastering,Preparing surface|Mixing plaster|Applying plaster|Troweling|Smoothing|Texturing|Sanding|Applying primer|Painting|Cleaning tools
Metal Casting,Creating mold|Melting metal|Pouring metal into mold|Cooling|Removing from mold|Removing excess material|Polishing|Inspecting for defects|Applying finishes|Storing finished products
Sourdough Bread Making,Feeding sourdough starter|Mixing ingredients|Kneading dough|Proofing dough|Shaping dough|Scoring|Baking|Cooling|Slicing|Storing
Landscaping Design,Meeting with clients|Surveying property|Sketching design|Choosing plants|Selecting materials|Creating blueprints|Presenting design|Client feedback|Finalizing plan|Providing maintenance tips
Luthiery (Guitar Making),Selecting wood|Designing guitar|Cutting wood|Shaping body/neck|Installing frets|Attaching bridge/pickups|Applying finish|Assembling components|Tuning|Testing sound
Model Making,Researching|Gathering materials|Cutting/Trimming|Assembling pieces|Sanding|Priming|Painting|Detailing|Adding decals|Sealing
Tea Blending,Selecting teas|Measuring ingredients|Mixing teas|Adding flavors|Testing blends|Adjusting ratios|Packaging|Labeling|Brewing samples|Quality control
Sculpting,Sketching design|Choosing materials|Building armature|Modeling|Carving|Sanding|Adding details|Firing (if applicable)|Applying finishes|Displaying
Costume Making,Designing costume|Choosing fabrics|Patterning|Cutting fabric|Sewing pieces together|Fitting costume|Adding embellishments|Creating accessories|Final adjustments|Styling costume
Gardening,Planning garden layout|Preparing soil|Planting seeds/plants|Watering|Weeding|Mulching|Pruning|Fertilizing|Harvesting|Cleaning tools
Stained Glass Making,Designing pattern|Selecting glass|Cutting glass|Grinding edges|Fitting pieces together|Applying copper foil|Soldering|Cleaning|Applying patina|Polishing
Ice Sculpting,Designing sculpture|Creating ice blocks|Using chainsaw to shape|Using chisels to refine details|Smoothing surfaces|Adding smaller details|Assembling components|Displaying sculpture|Illuminating sculpture|Transporting
Basket Weaving,Selecting materials|Preparing materials|Constructing base|Weaving sides|Shaping|Adding handles|Trimming excess|Finishing edges|Applying sealant|Inspecting for quality
Beekeeping,Checking hive health|Inspecting frames|Harvesting honey|Extracting honey|Filtering honey|Bottling honey|Feeding bees|Treating for pests/disease|Cleaning equipment|Monitoring colony
Chocolate Making,Tempering chocolate|Pouring into molds|Adding fillings|Allowing to set|Removing from molds|Trimming excess|Decorating|Packaging|Labeling|Displaying
Knife Making,Selecting steel|Cutting steel|Shaping blade|Grinding edge|Heat treating|Tempering|Adding handle|Sharpening blade|Polishing|Inspecting for quality
Candle Making,Melting wax|Adding fragrance/color|Pouring wax into molds|Inserting wicks|Allowing to cool|Removing from molds|Trimming wicks|Labeling|Packaging|Displaying for sale
Beer Brewing,Mashing grains|Boiling wort|Adding hops|Cooling wort|Transferring to fermenter|Pitching yeast|Fermentation|Bottling beer|Carbonation|Labeling
Bonsai Cultivation,Selecting tree|Pruning roots|Repotting|Shaping tree|Wiring branches|Watering|Fertilizing|Training growth|Trimming leaves|Displaying
Fermentation,Preparing ingredients|Mixing ingredients|Adding starter culture|Fermentation|Monitoring progress|Tasting|Adjusting flavor|Bottling|Carbonation|Storing
Sewing,Selecting fabric|Cutting patterns|Sewing pieces together|Fitting garment|Adjustments|Adding closures|Hemming|Adding embellishments|Pressing|Inspecting for quality
Knife Sharpening,Assessing blade|Selecting sharpening stones|Setting angle|Sharpening|Honing|Testing edge|Cleaning blade|Oiling blade|Storing|Sharpening tools maintenance
Beekeeping,Checking hive health|Inspecting frames|Harvesting honey|Extracting honey|Filtering honey|Bottling honey|Feeding bees|Treating for pests/disease|Cleaning equipment|Monitoring colony
Chocolate Making,Tempering chocolate|Pouring into molds|Adding fillings|Allowing to set|Removing from molds|Trimming excess|Decorating|Packaging|Labeling|Displaying
Knife Making,Selecting steel|Cutting steel|Shaping blade|Grinding edge|Heat treating|Tempering|Adding handle|Sharpening blade|Polishing|Inspecting for quality
Candle Making,Melting wax|Adding fragrance/color|Pouring wax into molds|Inserting wicks|Allowing to cool|Removing from molds|Trimming wicks|Labeling|Packaging|Displaying for sale
Beer Brewing,Mashing grains|Boiling wort|Adding hops|Cooling wort|Transferring to fermenter|Pitching yeast|Fermentation|Bottling beer|Carbonation|Labeling
Bonsai Cultivation,Selecting tree|Pruning roots|Repotting|Shaping tree|Wiring branches|Watering|Fertilizing|Training growth|Trimming leaves|Displaying
Fermentation,Preparing ingredients|Mixing ingredients|Adding starter culture|Fermentation|Monitoring progress|Tasting|Adjusting flavor|Bottling|Carbonation|Storing
Sewing,Selecting fabric|Cutting patterns|Sewing pieces together|Fitting garment|Adjustments|Adding closures|Hemming|Adding embellishments|Pressing|Inspecting for quality
Knife Sharpening,Assessing blade|Selecting sharpening stones|Setting angle|Sharpening|Honing|Testing edge|Cleaning blade|Oiling blade|Storing|Sharpening tools maintenance
Furniture Making,Designing furniture|Selecting lumber|Cutting wood|Joining pieces|Sanding surfaces|Applying finishes|Assembling components|Adding hardware|Inspecting for quality|Packaging for delivery
Hat Making,Blocking fabric|Shaping brim|Creating crown|Sewing pieces together|Adding sweatband|Adding trimmings|Pressing|Finishing touches|Quality inspection|Packaging
Candle Making,Melting wax|Adding fragrance/color|Pouring wax into molds|Inserting wicks|Allowing to cool|Removing from molds|Trimming wicks|Labeling|Packaging|Displaying for sale
Beer Brewing,Mashing grains|Boiling wort|Adding hops|Cooling wort|Transferring to fermenter|Pitching yeast|Fermentation|Bottling beer|Carbonation|Labeling
Laundry,Sorting clothes|Loading washing machine|Adding detergent|Selecting wash cycle|Starting machine|Waiting for wash cycle to complete|Transferring clothes to dryer|Adding dryer sheets|Selecting drying cycle|Starting dryer|Folding clothes|Ironing if necessary|Hanging clothes|Putting clothes away|Cleaning lint trap|Cleaning washing machine|Cleaning dryer|Organizing laundry area|Restocking detergent and dryer sheets|Maintaining laundry equipment
Gardening,Planning garden layout|Preparing soil|Planting seeds/plants|Watering plants|Weeding|Applying fertilizer|Pruning plants|Mulching|Protecting plants from pests|Monitoring plant growth|Harvesting crops|Preserving harvested produce|Cleaning gardening tools|Storing gardening equipment|Repairing garden structures|Composting|Rotating crops|Planning for seasonal changes|Gathering gardening supplies|Maintaining garden boundaries
Cooking,Planning meals|Creating shopping lists|Grocery shopping|Storing groceries|Meal preparation|Chopping vegetables|Marinating meat|Cooking on stove|Baking in oven|Grilling|Sauteing|Simmering|Boiling|Seasoning dishes|Plating meals|Setting the table|Serving food|Cleaning dishes|Wiping countertops|Sweeping floors|Mopping floors|Cleaning kitchen appliances
House Cleaning,Decluttering|Dusting surfaces|Wiping surfaces|Vacuuming carpets|Sweeping floors|Mopping floors|Cleaning windows|Washing dishes|Cleaning appliances|Scrubbing bathroom fixtures|Disinfecting surfaces|Changing bed linens|Organizing closets|Taking out trash|Recycling|Cleaning air vents|Washing curtains|Polishing furniture|Removing stains|Maintaining cleaning supplies
Car Maintenance,Checking oil levels|Checking tire pressure|Checking brake fluid|Checking coolant levels|Replacing windshield wipers|Replacing air filters|Replacing cabin air filter|Replacing spark plugs|Changing engine oil|Rotating tires|Cleaning battery terminals|Inspecting brakes|Inspecting belts and hoses|Cleaning interior|Washing exterior|Waxing|Polishing headlights|Cleaning windows|Checking lights|Maintaining tire tread depth
Sewing,Choosing fabric|Cutting fabric|Measuring and marking|Pinning fabric|Sewing seams|Pressing seams|Installing zippers/buttons/snaps|Hemming|Gathering fabric|Basting|Creating pleats|Making darts|Applying interfacing|Finishing edges|Adding embellishments|Attaching linings|Repairing tears|Altering clothing fit|Creating patterns|Maintaining sewing machine
Woodworking,Selecting wood|Measuring and marking|Cutting wood|Sanding surfaces|Assembling pieces|Gluing joints|Clamping pieces together|Drilling holes|Driving screws/nails|Staining wood|Applying finish|Carving|Turning on lathe|Routing|Joining with dowels|Planing|Shaping with jigsaw|Bending wood|Inlaying|Polishing|Maintaining woodworking tools
Painting,Preparing surfaces|Choosing paint colors|Priming surfaces|Taping edges|Mixing paint|Applying paint with brush|Applying paint with roller|Spraying paint|Creating textures|Blending colors|Layering paint|Masking off areas|Cleaning brushes/rollers|Protecting floors/furniture|Removing old paint|Filling holes/cracks|Sanding surfaces|Sealing surfaces|Touching up|Maintaining paint supplies
Baking,Gathering ingredients|Measuring ingredients|Mixing ingredients|Kneading dough|Proofing dough|Shaping dough|Baking in oven|Monitoring baking progress|Testing doneness|Cooling baked goods|Decorating baked goods|Creating icing/frosting|Storing baked goods|Cleaning baking equipment|Organizing baking supplies|Preheating oven|Greasing baking pans|Lining pans with parchment paper|Rotating pans in oven|Adjusting oven temperature
Home Repair,Identifying problem areas|Gathering necessary tools|Repairing leaks|Fixing electrical issues|Replacing light fixtures|Repairing drywall|Painting walls|Replacing flooring|Fixing plumbing issues|Repairing doors/windows|Fixing roof leaks|Repairing fences/gates|Replacing broken tiles|Patching holes|Sealing cracks|Recaulking|Insulating|Repairing appliances|Fixing squeaky floors|Repairing stairs
Pottery,Wedging clay|Centering clay on wheel|Throwing clay into desired shape|Trimming excess clay|Adding handles/spouts|Carving designs|Applying glazes|Firing pottery in kiln|Monitoring kiln temperature|Removing pottery from kiln|Sanding and smoothing surfaces|Buffing for shine|Inspecting for flaws|Packaging finished pieces|Selling or displaying pottery|Cleaning pottery tools|Preparing clay|Maintaining pottery wheel|Mixing glazes|Firing schedule planning
